age,sex,orientation,body_type,diet,drinks,drugs,education,job,offspring,pets,religion,sign,smokes,Match.age,Match.sex,Match.orientation,Match.body_type,Match.diet,Match.drinks,Match.drugs,Match.education,Match.job,Match.offspring,Match.pets,Match.religion,Match.sign,Match.smokes,scores
18,m,gay,average,strictly other,not at all,never,working on two-year college,student,"doesn't have kids, but might want them",has dogs,other,,no,21,m,gay,average,anything,not at all,never,in college,student,,has dogs,other,virgo,no,80.0
29,m,straight,athletic,mostly anything,socially,never,graduated from masters program,student,"doesn't have kids, but might want them",likes dogs and likes cats,christianity and laughing about it,pisces but it doesn't matter,no,25,f,straight,fit,anything,socially,never,graduated college,,"doesn't have kids, but might want them",likes dogs and likes cats,christian,capricorn,no,53.33
32,f,straight,average,mostly anything,often,never,graduated from masters program,,"doesn't have kids, but might want them",,,taurus but it doesn't matter,no,32,m,straight,average,anything,socially,never,graduated college,sales / marketing / biz dev,"doesn't have kids, but might want them",likes dogs,other,taurus,no,61.54
37,m,straight,fit,strictly anything,socially,,working on space camp,computer / hardware / software,has kids,,atheism but not too serious about it,libra but it doesn't matter,no,33,f,straight,average,anything,socially,,graduated college,computer / hardware / software,,likes dogs and has cats,other,libra,no,50.0
56,m,straight,average,,rarely,never,graduated from college/university,construction / craftsmanship,has kids,,christianity but not too serious about it,gemini and its fun to think about,no,38,f,straight,average,anything,rarely,never,in college,banking / financial / real estate,has kids,likes dogs and likes cats,christian,gemini,no,57.14
27,m,straight,used up,mostly anything,socially,sometimes,graduated from college/university,artistic / musical / writer,,likes dogs and likes cats,agnosticism and laughing about it,taurus and its fun to think about,no,27,f,straight,average,anything,socially,never,in college,artistic / musical / writer,,likes dogs and likes cats,agnostic,taurus,no,60.0
50,f,straight,fit,mostly vegetarian,socially,never,graduated from two-year college,entertainment / media,,,christianity but not too serious about it,capricorn and its fun to think about,no,35,m,straight,average,vegetarian,socially,never,in college,entertainment / media,doesn't have kids,,other,capricorn,no,57.14
34,m,gay,athletic,mostly anything,socially,never,graduated from ph.d program,science / tech / engineering,,likes dogs and has cats,agnosticism,,no,43,m,gay,fit,anything,socially,never,graduated college,science / tech / engineering,,,agnostic,aquarius,no,64.29
30,m,bisexual,a little extra,mostly anything,socially,,graduated from college/university,computer / hardware / software,"doesn't have kids, but might want them",has dogs,other and laughing about it,pisces and its fun to think about,no,30,m,straight,curvy,anything,socially,,in college,construction / craftsmanship,,,other,pisces,no,46.67
39,m,straight,athletic,anything,socially,,graduated from med school,medicine / health,,likes dogs and likes cats,judaism and laughing about it,,no,39,f,straight,fit,anything,socially,never,graduated college,medicine / health,,likes dogs and likes cats,judaism,capricorn,no,76.92
51,f,straight,athletic,,socially,never,,science / tech / engineering,"has a kid, but doesn't want more",,other,,no,51,m,straight,fit,anything,socially,never,graduated college,,,,other,aquarius,no,75.0
23,f,straight,curvy,mostly anything,socially,never,graduated from college/university,entertainment / media,doesn't want kids,likes dogs and likes cats,catholicism but not too serious about it,leo but it doesn't matter,no,23,m,straight,average,anything,socially,never,in college,entertainment / media,,,catholicism,aquarius,no,53.33
30,f,straight,athletic,,socially,never,graduated from ph.d program,,,likes dogs and likes cats,christianity and very serious about it,,no,30,m,straight,fit,anything,socially,never,graduated college,,,likes dogs and likes cats,other,aquarius,no,75.0
35,f,straight,athletic,,socially,never,dropped out of masters program,other,,likes dogs and likes cats,,scorpio and its fun to think about,no,38,m,straight,fit,anything,socially,never,graduated college,other,,likes dogs and likes cats,other,scorpio,no,69.23
22,m,straight,fit,mostly anything,socially,,graduated from high school,student,,,,cancer but it doesn't matter,sometimes,22,f,straight,average,anything,socially,,graduated college,student,,,other,aries,,58.33
37,m,straight,fit,mostly other,not at all,never,graduated from college/university,computer / hardware / software,doesn't have kids,has cats,,leo and its fun to think about,no,29,f,straight,average,anything,,never,in college,,doesn't have kids,,other,leo,no,46.67
28,f,straight,skinny,,socially,never,graduated from law school,law / legal services,,likes dogs and dislikes cats,judaism but not too serious about it,,no,28,m,straight,average,anything,socially,never,graduated college,executive / management,,likes dogs and dislikes cats,judaism,aquarius,no,69.23
35,m,gay,average,mostly anything,socially,sometimes,graduated from college/university,education / academia,,has dogs,agnosticism,gemini but it doesn't matter,no,46,m,gay,average,anything,socially,sometimes,in college,,,has dogs,agnostic,aquarius,no,66.67
53,f,straight,curvy,mostly anything,not at all,never,graduated from high school,retired,"has a kid, but doesn't want more",has cats,christianity and very serious about it,,no,19,m,straight,average,anything,not at all,never,graduated high school,sales / marketing / biz dev,,has dogs and has cats,christian,aquarius,no,46.67
37,m,straight,average,mostly anything,often,sometimes,graduated from college/university,artistic / musical / writer,,likes dogs and likes cats,,gemini and its fun to think about,no,37,f,straight,average,anything,socially,sometimes,in college,artistic / musical / writer,,,other,gemini,no,64.29
23,m,bisexual,skinny,mostly vegetarian,rarely,sometimes,working on two-year college,sales / marketing / biz dev,doesn't have kids,likes dogs and likes cats,atheism and laughing about it,libra but it doesn't matter,no,25,m,bisexual,fit,vegetarian,rarely,,in college,education / academia,doesn't have kids,likes dogs and likes cats,other,libra,no,53.33
37,f,straight,athletic,,socially,never,graduated from masters program,banking / financial / real estate,,,,gemini and its fun to think about,no,50,m,straight,fit,anything,socially,never,graduated college,banking / financial / real estate,,,other,gemini,no,66.67
40,m,straight,average,,socially,never,graduated from college/university,sales / marketing / biz dev,,likes dogs,agnosticism and laughing about it,sagittarius but it doesn't matter,sometimes,31,f,straight,average,anything,socially,never,in college,entertainment / media,,likes dogs,agnostic,sagittarius,,57.14
26,m,straight,fit,,socially,never,graduated from college/university,sales / marketing / biz dev,,,,,no,26,f,straight,average,anything,socially,never,in college,sales / marketing / biz dev,,,other,aquarius,no,81.82
42,f,straight,athletic,anything,socially,never,graduated from masters program,,,has cats,other,pisces,no,42,m,straight,fit,anything,socially,never,in college,science / tech / engineering,,has cats,other,pisces,no,85.71
23,f,bisexual,average,vegetarian,socially,never,graduated from college/university,law / legal services,,,christianity and somewhat serious about it,,no,26,f,bisexual,average,vegetarian,socially,never,in college,other,,,christian,aquarius,no,76.92
20,m,bisexual,skinny,,socially,,working on college/university,entertainment / media,doesn't want kids,likes dogs and likes cats,agnosticism but not too serious about it,scorpio and its fun to think about,when drinking,22,f,bisexual,thin,anything,socially,,in college,entertainment / media,,likes dogs and likes cats,agnostic,cancer,no,50.0
47,m,straight,fit,,socially,never,graduated from masters program,science / tech / engineering,,,other,leo but it doesn't matter,no,24,f,straight,average,anything,socially,never,graduated college,science / tech / engineering,,,other,leo,no,69.23
31,f,straight,fit,mostly vegetarian,,,,,,,,,,28,m,straight,average,vegetarian,,,graduated college,,,,other,aquarius,,57.14
34,f,straight,curvy,mostly anything,not at all,never,graduated from masters program,other,"doesn't have kids, but might want them",likes dogs and dislikes cats,other but not too serious about it,gemini and its fun to think about,no,34,m,straight,average,anything,not at all,never,in college,,,,other,gemini,no,53.33
30,f,straight,average,,rarely,never,graduated from masters program,education / academia,,,agnosticism but not too serious about it,scorpio but it doesn't matter,no,30,m,straight,average,anything,rarely,never,in college,education / academia,,dislikes dogs and likes cats,agnostic,scorpio,no,76.92
26,m,straight,fit,mostly vegetarian,socially,never,graduated from masters program,science / tech / engineering,,,agnosticism,scorpio,no,26,f,straight,average,anything,socially,never,graduated college,science / tech / engineering,,,other,scorpio,no,71.43
25,f,bisexual,used up,anything,desperately,sometimes,graduated from space camp,other,doesn't want kids,likes dogs and likes cats,atheism and somewhat serious about it,cancer but it doesn't matter,sometimes,22,f,bisexual,average,anything,desperately,sometimes,graduated college,other,,likes dogs and likes cats,other,virgo,yes,64.29
46,m,gay,fit,mostly anything,not at all,never,graduated from college/university,student,,likes dogs and likes cats,christianity but not too serious about it,sagittarius and its fun to think about,no,26,m,gay,average,anything,socially,never,in college,,,likes dogs and likes cats,christian,sagittarius,no,53.33
24,m,straight,thin,,,,graduated from college/university,,,,judaism and laughing about it,scorpio,,24,f,straight,average,anything,,,in college,,,,judaism,virgo,,55.56
49,m,straight,athletic,mostly anything,socially,never,graduated from masters program,computer / hardware / software,,likes dogs and likes cats,,taurus but it doesn't matter,no,35,f,straight,fit,anything,socially,never,graduated college,computer / hardware / software,,likes dogs and likes cats,other,virgo,no,64.29
27,m,straight,skinny,,not at all,never,graduated from two-year college,unemployed,"doesn't have kids, but wants them",likes dogs,christianity and very serious about it,,no,34,f,straight,average,anything,socially,never,in college,,"doesn't have kids, but wants them",likes dogs,christian,aquarius,no,57.14
25,m,straight,,,often,,graduated from college/university,sales / marketing / biz dev,,likes dogs,,leo,,25,f,straight,average,anything,,never,in college,,,likes dogs,other,leo,,70.0
26,m,straight,,,not at all,never,working on college/university,student,doesn't want kids,has dogs,other and somewhat serious about it,capricorn but it doesn't matter,sometimes,24,f,straight,average,anything,not at all,never,in college,student,,,other,capricorn,no,50.0
26,m,straight,average,,rarely,never,graduated from college/university,,,likes dogs and likes cats,,libra,no,26,f,straight,average,anything,rarely,never,in college,science / tech / engineering,,likes dogs and likes cats,other,scorpio,no,83.33
27,f,straight,curvy,,socially,never,graduated from college/university,sales / marketing / biz dev,doesn't have kids,,,,no,27,m,straight,average,anything,socially,never,in college,sales / marketing / biz dev,doesn't have kids,likes dogs and likes cats,other,aquarius,no,75.0
33,f,straight,athletic,mostly vegetarian,socially,never,graduated from college/university,education / academia,"doesn't have kids, but wants them",likes dogs and likes cats,judaism but not too serious about it,capricorn but it doesn't matter,no,49,m,straight,fit,vegetarian,socially,never,in college,medicine / health,"doesn't have kids, but wants them",likes dogs and likes cats,buddhism,capricorn,no,53.33
20,m,straight,athletic,mostly anything,socially,never,working on college/university,other,doesn't want kids,has cats,,,no,24,f,straight,fit,anything,socially,never,in college,other,,,other,aquarius,no,57.14
23,f,straight,average,mostly anything,socially,never,graduated from college/university,banking / financial / real estate,,likes dogs and dislikes cats,,pisces but it doesn't matter,no,25,m,straight,average,anything,socially,never,in college,banking / financial / real estate,,,other,pisces,no,64.29
28,m,gay,average,mostly anything,often,never,graduated from college/university,sales / marketing / biz dev,,dislikes cats,catholicism but not too serious about it,sagittarius and its fun to think about,yes,32,m,gay,average,anything,often,never,in college,,,,catholicism,sagittarius,no,53.33
28,m,gay,average,mostly anything,often,never,graduated from college/university,sales / marketing / biz dev,,dislikes cats,catholicism but not too serious about it,sagittarius and its fun to think about,yes,32,m,gay,average,anything,often,never,in college,,,,catholicism,sagittarius,no,53.33
19,m,straight,average,anything,socially,sometimes,,,,likes dogs and likes cats,agnosticism,,no,32,f,straight,average,anything,socially,sometimes,graduated college,sales / marketing / biz dev,,likes dogs and likes cats,agnostic,aquarius,no,83.33
29,f,straight,average,,very often,never,graduated from college/university,,doesn't have kids,,atheism and laughing about it,sagittarius but it doesn't matter,no,29,m,straight,average,anything,often,never,in college,sales / marketing / biz dev,doesn't have kids,,other,sagittarius,no,69.23
28,m,gay,,,,,,other,,,,pisces,,28,m,gay,average,anything,,,graduated college,other,,likes dogs and likes cats,other,gemini,trying to quit,100.0
29,f,straight,athletic,anything,socially,,graduated from masters program,education / academia,"doesn't have kids, but wants them",likes dogs and dislikes cats,agnosticism,leo,no,34,m,straight,fit,anything,socially,,graduated college,education / academia,"doesn't have kids, but wants them",likes dogs,agnostic,leo,no,66.67
57,m,straight,average,,socially,never,graduated from college/university,entertainment / media,doesn't want kids,has cats,agnosticism,pisces and its fun to think about,no,36,f,straight,average,anything,socially,,in college,entertainment / media,doesn't want kids,likes dogs and likes cats,agnostic,pisces,no,60.0
34,f,straight,average,mostly anything,rarely,never,graduated from masters program,,,likes cats,,,no,34,m,straight,average,anything,rarely,never,graduated college,computer / hardware / software,,likes cats,other,aquarius,no,83.33
25,m,straight,athletic,,,,,,,,,,,25,f,straight,fit,anything,,never,graduated college,,,,other,aquarius,,83.33
29,f,straight,curvy,anything,socially,never,graduated from college/university,entertainment / media,"doesn't have kids, and doesn't want any",,,gemini and its fun to think about,no,29,m,straight,average,anything,socially,never,in college,entertainment / media,,,other,gemini,no,71.43
23,m,straight,athletic,mostly anything,,never,graduated from college/university,computer / hardware / software,,,,,,23,f,straight,average,anything,,never,in college,other,,,other,aquarius,,60.0
29,f,straight,average,anything,socially,never,masters program,science / tech / engineering,,likes dogs and dislikes cats,,aquarius but it doesn't matter,no,29,m,straight,average,anything,socially,never,graduated college,science / tech / engineering,,,other,aquarius,no,78.57
49,f,straight,thin,,socially,never,graduated from law school,other,has kids,has cats,other,capricorn,no,36,m,straight,average,anything,socially,never,graduated college,other,,,other,capricorn,no,64.29
28,m,straight,,,socially,never,graduated from college/university,sales / marketing / biz dev,,,,aries but it doesn't matter,no,28,f,straight,average,anything,socially,never,in college,sales / marketing / biz dev,,likes dogs,other,aries,no,81.82
27,f,straight,curvy,mostly anything,often,sometimes,working on ph.d program,student,"doesn't have kids, but might want them",likes dogs and dislikes cats,agnosticism,,no,27,m,straight,average,anything,often,,graduated college,student,,likes dogs and likes cats,agnostic,aquarius,no,53.33
35,f,straight,,,socially,,graduated from college/university,clerical / administrative,,likes dogs and has cats,,pisces and its fun to think about,trying to quit,35,m,straight,average,anything,socially,,in college,,,likes dogs and has cats,other,gemini,trying to quit,72.73
31,f,straight,thin,,socially,,graduated from college/university,medicine / health,,has dogs,,capricorn and its fun to think about,no,31,m,straight,average,anything,socially,,in college,entertainment / media,,,other,capricorn,no,58.33
26,m,straight,,,socially,never,graduated from college/university,computer / hardware / software,,,,aries and its fun to think about,no,26,f,straight,average,anything,socially,never,in college,computer / hardware / software,,likes dogs and likes cats,other,aries,no,81.82
22,f,bisexual,fit,mostly vegetarian,rarely,never,graduated from college/university,other,"doesn't have kids, but might want them",likes dogs and has cats,buddhism but not too serious about it,virgo and its fun to think about,no,22,f,straight,average,vegetarian,,never,in college,other,"doesn't have kids, but might want them",likes dogs and has cats,other,cancer,no,60.0
29,m,straight,average,anything,socially,never,working on two-year college,other,doesn't have kids,likes dogs and likes cats,catholicism,cancer,no,32,f,straight,average,anything,socially,never,in college,other,,likes dogs and likes cats,catholicism,cancer,no,80.0
41,m,straight,fit,mostly anything,socially,never,graduated from masters program,political / government,"doesn't have kids, but wants them",,hinduism but not too serious about it,gemini,no,37,f,straight,average,anything,socially,never,graduated college,political / government,,,agnostic,gemini,no,60.0
26,f,straight,athletic,,socially,never,working on ph.d program,student,,likes dogs and likes cats,,pisces but it doesn't matter,no,29,m,straight,fit,anything,socially,never,graduated college,student,,likes dogs and likes cats,other,pisces,no,69.23
23,f,straight,curvy,anything,socially,never,working on med school,hospitality / travel,"doesn't have kids, but wants them",likes dogs and dislikes cats,christianity and very serious about it,,no,23,m,straight,average,anything,socially,never,graduated college,science / tech / engineering,,,christian,aquarius,no,60.0
24,m,straight,athletic,mostly vegetarian,socially,,graduated from college/university,political / government,,,,virgo,no,24,f,straight,fit,vegetarian,socially,,in college,sales / marketing / biz dev,,,other,capricorn,no,58.33
30,m,straight,athletic,,rarely,never,graduated from masters program,science / tech / engineering,,likes dogs,,pisces and its fun to think about,no,35,f,straight,fit,anything,rarely,never,graduated college,,,,other,pisces,no,53.85
28,f,straight,fit,mostly vegetarian,rarely,,working on masters program,,,,buddhism and laughing about it,taurus and its fun to think about,no,49,m,straight,average,vegetarian,rarely,sometimes,graduated college,,,likes dogs,buddhism,leo,no,50.0
28,m,straight,fit,,socially,never,graduated from college/university,entertainment / media,doesn't have kids,,,taurus and its fun to think about,no,28,f,straight,average,anything,socially,never,in college,entertainment / media,doesn't have kids,likes dogs,other,aquarius,no,69.23
27,m,straight,athletic,strictly anything,socially,never,graduated from college/university,other,,,catholicism,,no,28,f,straight,fit,anything,socially,never,in college,other,,,catholicism,aquarius,no,69.23
26,m,straight,average,mostly anything,often,,graduated from two-year college,,,,christianity,pisces,sometimes,24,f,straight,average,anything,often,,in college,other,,,christian,pisces,when drinking,58.33
28,m,straight,fit,,socially,,graduated from college/university,sales / marketing / biz dev,,likes dogs,christianity but not too serious about it,capricorn,,28,f,straight,average,anything,socially,,in college,education / academia,,likes dogs,christian,capricorn,no,66.67
34,m,straight,fit,mostly anything,socially,,graduated from college/university,medicine / health,"doesn't have kids, but might want them",has dogs and has cats,agnosticism,gemini and its fun to think about,when drinking,30,f,straight,average,anything,socially,sometimes,in college,medicine / health,,has dogs and has cats,agnostic,pisces,when drinking,53.33
44,f,straight,curvy,mostly anything,rarely,never,graduated from ph.d program,medicine / health,has kids,has dogs and likes cats,christianity and somewhat serious about it,capricorn but it doesn't matter,no,44,m,straight,average,anything,rarely,never,graduated college,medicine / health,,,other,aquarius,no,53.33
33,f,bisexual,average,mostly vegetarian,socially,sometimes,graduated from college/university,entertainment / media,doesn't want kids,has cats,buddhism and laughing about it,sagittarius and its fun to think about,no,28,m,bisexual,average,vegetarian,socially,sometimes,in college,entertainment / media,doesn't want kids,likes dogs and likes cats,other,pisces,no,60.0
53,f,straight,fit,mostly anything,socially,never,graduated from masters program,banking / financial / real estate,"has kids, but doesn't want more",has dogs,atheism and somewhat serious about it,pisces and its fun to think about,no,38,m,straight,average,anything,socially,never,graduated college,banking / financial / real estate,,,other,pisces,no,46.67
24,m,straight,thin,mostly anything,socially,,working on college/university,,,,,,sometimes,24,f,straight,average,anything,socially,,in college,,,,other,aquarius,,60.0
26,m,straight,,,,,college/university,computer / hardware / software,,,atheism,,,26,f,straight,average,anything,,never,in college,,,,other,aquarius,,62.5
40,f,straight,thin,,socially,never,graduated from masters program,education / academia,,has dogs,,pisces but it doesn't matter,no,40,m,straight,average,anything,socially,never,graduated college,education / academia,,,other,virgo,no,69.23
25,m,straight,fit,mostly anything,socially,never,graduated from masters program,computer / hardware / software,,,,,no,25,f,straight,average,anything,socially,never,graduated college,,,,other,aquarius,no,66.67
25,f,bisexual,a little extra,mostly anything,rarely,,graduated from college/university,artistic / musical / writer,"doesn't have kids, and doesn't want any",has dogs,judaism but not too serious about it,sagittarius and its fun to think about,no,42,f,bisexual,average,anything,rarely,,in college,artistic / musical / writer,,likes dogs and has cats,judaism,sagittarius,no,53.33
32,m,straight,average,,socially,never,working on two-year college,,doesn't want kids,likes dogs and likes cats,agnosticism,capricorn,no,32,f,straight,average,anything,socially,never,in college,science / tech / engineering,,likes dogs and likes cats,agnostic,libra,no,71.43
38,f,straight,fit,mostly anything,socially,never,graduated from college/university,,,,christianity,aries and its fun to think about,no,26,m,straight,average,anything,socially,never,in college,student,,,christian,aries,no,53.85
30,m,straight,fit,,socially,never,graduated from college/university,entertainment / media,,,,scorpio,no,30,f,straight,average,anything,socially,never,in college,entertainment / media,,has dogs,other,scorpio,no,83.33
41,m,straight,thin,mostly vegan,rarely,sometimes,,,,,,cancer but it doesn't matter,no,30,f,straight,average,anything,rarely,sometimes,graduated college,,,likes dogs,other,cancer,no,63.64
22,f,straight,skinny,mostly anything,often,never,graduated from college/university,other,,has dogs,catholicism,cancer but it doesn't matter,no,22,m,straight,average,anything,not at all,never,in college,other,,has dogs,catholicism,leo,no,66.67
42,m,straight,average,strictly anything,socially,never,graduated from masters program,computer / hardware / software,"has a kid, and might want more",likes dogs,other but not too serious about it,taurus and its fun to think about,no,42,f,straight,average,anything,socially,never,graduated college,,,,other,pisces,no,53.33
48,f,straight,fit,,often,never,graduated from college/university,hospitality / travel,,,,cancer,no,29,m,straight,average,anything,often,never,in college,,,,other,cancer,no,66.67
22,m,straight,average,mostly anything,socially,never,working on college/university,student,"doesn't have kids, but might want them",,atheism but not too serious about it,libra and its fun to think about,no,22,f,straight,average,anything,socially,never,in college,student,"doesn't have kids, but might want them",has dogs,other,libra,no,66.67
35,m,straight,fit,mostly anything,socially,never,graduated from masters program,banking / financial / real estate,doesn't have kids,likes dogs and likes cats,judaism and laughing about it,pisces,no,35,f,straight,average,anything,socially,never,graduated college,banking / financial / real estate,doesn't have kids,,other,pisces,no,66.67
24,m,straight,skinny,mostly anything,rarely,never,working on college/university,medicine / health,doesn't have kids,,atheism and laughing about it,sagittarius and its fun to think about,no,28,f,straight,thin,anything,socially,never,in college,medicine / health,doesn't have kids,,other,sagittarius,no,53.33
26,m,straight,,,socially,never,graduated from college/university,banking / financial / real estate,doesn't have kids,,,,no,26,f,straight,average,anything,socially,,in college,banking / financial / real estate,doesn't have kids,,other,aquarius,no,81.82
53,m,bisexual,a little extra,,not at all,never,graduated from space camp,executive / management,doesn't want kids,likes dogs and likes cats,buddhism and laughing about it,virgo and its fun to think about,no,18,f,gay,curvy,anything,not at all,never,graduated college,student,doesn't want kids,likes dogs and likes cats,other,virgo,no,46.67
